stt, month ,make,importer_type,fuel_type,vehicle_type,number,,
1, 2016-01 ,ALFA ROMEO,,Petrol,Hatchback,3,,
2, 2016-01 ,ALPINA,,Petrol,Hatchback,0,,
3, 2016-01 ,ASTON MARTIN,,Petrol,Hatchback,0,,
4, 2016-01 ,AUDI,,Petrol,Hatchback,45,,
5, 2016-01 ,B.M.W.,,Petrol,Hatchback,5,,
6, 2016-01 ,B.M.W.,,Diesel,Hatchback,72,,
7, 2016-01 ,B.M.W.,,Others,Hatchback,0,,
8, 2016-01 ,BENTLEY,,Petrol,Hatchback,0,,
9, 2016-01 ,CHERY,,Petrol,Hatchback,3,,
10, 2016-01 ,CHEVROLET,,Petrol,Hatchback,0,,
11, 2016-01 ,CHRYSLER,,Diesel,Hatchback,0,,
12, 2016-01 ,CITROEN,,Petrol,Hatchback,0,,
13, 2016-01 ,CITROEN,,Diesel,Hatchback,0,,
14, 2016-01 ,DAIHATSU,,Petrol,Hatchback,0,,
15, 2016-01 ,FERRARI,,Petrol,Hatchback,0,,
16, 2016-01 ,FIAT,,Petrol,Hatchback,0,,
17, 2016-01 ,FORD,,Petrol,Hatchback,4,,
18, 2016-01 ,HONDA,,Petrol,Hatchback,183,,
19, 2016-01 ,HONDA,,Others,Hatchback,0,,
20, 2016-01 ,HYUNDAI,,Petrol,Hatchback,8,,
21, 2016-01 ,HYUNDAI,,Diesel,Hatchback,0,,
22, 2016-01 ,INFINITI,,Petrol,Hatchback,0,,
23, 2016-01 ,JAGUAR,,Petrol,Hatchback,0,,
24, 2016-01 ,JAGUAR,,Diesel,Hatchback,0,,
25, 2016-01 ,JEEP,,Petrol,Hatchback,0,,
26, 2016-01 ,KIA,,Petrol,Hatchback,2,,
27, 2016-01 ,KIA,,Diesel,Hatchback,0,,
28, 2016-01 ,KOENIGSEGG,,Petrol,Hatchback,0,,
29, 2016-01 ,LAMBORGHINI,,Petrol,Hatchback,0,,
30, 2016-01 ,LAND ROVER,,Petrol,Hatchback,0,,
31, 2016-01 ,LAND ROVER,,Diesel,Hatchback,0,,
32, 2016-01 ,M.G.,,Petrol,Hatchback,0,,
33, 2016-01 ,MASERATI,,Petrol,Hatchback,0,,
34, 2016-01 ,MASERATI,,Diesel,Hatchback,0,,
35, 2016-01 ,MAZDA,,Petrol,Hatchback,77,,
36, 2016-01 ,MAZDA,,Diesel,Hatchback,0,,
37, 2016-01 ,Mclaren,,Petrol,Hatchback,0,,
38, 2016-01 ,MERCEDES BENZ,,Petrol,Hatchback,80,,
39, 2016-01 ,MERCEDES BENZ,,Diesel,Hatchback,0,,
40, 2016-01 ,MERCEDES BENZ,,Others,Hatchback,0,,
