Year,Month,Sum of number,make
2016,January,404,TOYOTA
2016,February,260,TOYOTA
2016,March,226,TOYOTA
2016,April,291,TOYOTA
2016,May,300,TOYOTA
2016,June,310,TOYOTA
2016,July,290,TOYOTA
2016,August,259,TOYOTA
2016,September,261,TOYOTA
2016,October,214,TOYOTA
2016,November,181,TOYOTA
2016,December,160,TOYOTA
2017,January,214,TOYOTA
2017,February,128,TOYOTA
2017,March,209,TOYOTA
2017,April,210,TOYOTA
2017,May,190,TOYOTA
2017,June,194,TOYOTA
2017,July,203,TOYOTA
2017,August,344,TOYOTA
2017,September,147,TOYOTA
2017,October,333,TOYOTA
2017,November,387,TOYOTA
2017,December,395,TOYOTA
2018,January,110,TOYOTA
2018,February,139,TOYOTA
2018,March,232,TOYOTA
2018,April,230,TOYOTA
2018,May,211,TOYOTA
2018,June,317,TOYOTA
2018,July,192,TOYOTA
2018,August,171,TOYOTA
2018,September,208,TOYOTA
2018,October,178,TOYOTA
2018,November,208,TOYOTA
2018,December,185,TOYOTA
2019,January,209,TOYOTA
2019,February,180,TOYOTA
2019,March,214,TOYOTA
2019,April,204,TOYOTA
2019,May,170,TOYOTA
2019,June,192,TOYOTA
2019,July,202,TOYOTA
2019,August,198,TOYOTA
2019,September,172,TOYOTA
2019,October,229,TOYOTA
2019,November,134,TOYOTA
2019,December,173,TOYOTA
2020,January,215,TOYOTA
2020,February,148,TOYOTA
2020,March,159,TOYOTA
2020,April,10,TOYOTA
2020,May,3,TOYOTA
2020,June,50,TOYOTA
2020,July,166,TOYOTA
2020,August,228,TOYOTA
2020,September,132,TOYOTA
2020,October,176,TOYOTA
2020,November,154,TOYOTA
2020,December,127,TOYOTA
2021,January,168,TOYOTA
2021,February,115,TOYOTA
2021,March,139,TOYOTA
2021,April,116,TOYOTA
2021,May,126,TOYOTA
2021,June,105,TOYOTA
2021,July,96,TOYOTA
2021,August,93,TOYOTA
2021,September,74,TOYOTA
2021,October,92,TOYOTA
2021,November,89,TOYOTA
2021,December,59,TOYOTA
2022,January,77,TOYOTA
2022,February,57,TOYOTA
2022,March,79,TOYOTA
2022,April,65,TOYOTA
2022,May,73,TOYOTA
2022,June,76,TOYOTA
2022,July,86,TOYOTA
2022,August,55,TOYOTA
2022,September,60,TOYOTA
2022,October,50,TOYOTA
2022,November,32,TOYOTA
2022,December,44,TOYOTA
2023,January,30,TOYOTA
2023,February,40,TOYOTA
2023,March,50,TOYOTA
2023,April,58,TOYOTA
2023,May,16,TOYOTA
2023,June,57,TOYOTA
2023,July,48,TOYOTA
2023,August,39,TOYOTA
2023,September,48,TOYOTA
2023,October,51,TOYOTA
2023,November,76,TOYOTA
2023,December,145,TOYOTA
2024,January,40,TOYOTA
2024,February,11,TOYOTA
2024,March,2,TOYOTA
2024,April,7,TOYOTA
2024,May,6,TOYOTA
2024,June,2,TOYOTA
2024,July,6,TOYOTA
2024,August,3,TOYOTA
2024,September,3,TOYOTA
2024,October,6,TOYOTA
