Year,Month,Sum of number,make
2016,January,599,TOYOTA
2016,February,548,TOYOTA
2016,March,798,TOYOTA
2016,April,623,TOYOTA
2016,May,906,TOYOTA
2016,June,824,TOYOTA
2016,July,412,TOYOTA
2016,August,409,TOYOTA
2016,September,579,TOYOTA
2016,October,540,TOYOTA
2016,November,597,TOYOTA
2016,December,623,TOYOTA
2017,January,563,TOYOTA
2017,February,656,TOYOTA
2017,March,754,TOYOTA
2017,April,636,TOYOTA
2017,May,589,TOYOTA
2017,June,537,TOYOTA
2017,July,209,TOYOTA
2017,August,323,TOYOTA
2017,September,150,TOYOTA
2017,October,384,TOYOTA
2017,November,282,TOYOTA
2017,December,356,TOYOTA
2018,January,226,TOYOTA
2018,February,198,TOYOTA
2018,March,318,TOYOTA
2018,April,321,TOYOTA
2018,May,361,TOYOTA
2018,June,651,TOYOTA
2018,July,121,TOYOTA
2018,August,176,TOYOTA
2018,September,277,TOYOTA
2018,October,358,TOYOTA
2018,November,358,TOYOTA
2018,December,298,TOYOTA
2019,January,361,TOYOTA
2019,February,400,TOYOTA
2019,March,463,TOYOTA
2019,April,444,TOYOTA
2019,May,401,TOYOTA
2019,June,346,TOYOTA
2019,July,418,TOYOTA
2019,August,274,TOYOTA
2019,September,313,TOYOTA
2019,October,329,TOYOTA
2019,November,324,TOYOTA
2019,December,313,TOYOTA
2020,January,171,TOYOTA
2020,February,249,TOYOTA
2020,March,274,TOYOTA
2020,April,14,TOYOTA
2020,June,35,TOYOTA
2020,July,227,TOYOTA
2020,August,235,TOYOTA
2020,September,287,TOYOTA
2020,October,214,TOYOTA
2020,November,219,TOYOTA
2020,December,253,TOYOTA
2021,January,188,TOYOTA
2021,February,125,TOYOTA
2021,March,203,TOYOTA
2021,April,209,TOYOTA
2021,May,127,TOYOTA
2021,June,132,TOYOTA
2021,July,143,TOYOTA
2021,August,121,TOYOTA
2021,September,104,TOYOTA
2021,October,143,TOYOTA
2021,November,176,TOYOTA
2021,December,202,TOYOTA
2022,January,66,TOYOTA
2022,February,121,TOYOTA
2022,March,92,TOYOTA
2022,April,45,TOYOTA
2022,May,78,TOYOTA
2022,June,88,TOYOTA
2022,July,50,TOYOTA
2022,August,49,TOYOTA
2022,September,32,TOYOTA
2022,October,28,TOYOTA
2022,November,53,TOYOTA
2022,December,45,TOYOTA
2023,January,23,TOYOTA
2023,February,38,TOYOTA
2023,March,87,TOYOTA
2023,April,36,TOYOTA
2023,May,23,TOYOTA
2023,June,42,TOYOTA
2023,July,24,TOYOTA
2023,August,16,TOYOTA
2023,September,25,TOYOTA
2023,October,6,TOYOTA
2023,November,31,TOYOTA
2023,December,29,TOYOTA
2024,January,10,TOYOTA
2024,February,26,TOYOTA
2024,March,45,TOYOTA
2024,April,129,TOYOTA
2024,May,75,TOYOTA
2024,June,65,TOYOTA
2024,July,115,TOYOTA
2024,August,128,TOYOTA
2024,September,168,TOYOTA
2024,October,167,TOYOTA
